Original_Name,Original_Folder,New_Name,Category,Status
Asset_144_Pasted image 20260303175154.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_144_Pasted_image_20260303175154_66.png,Asset,Moved
Asset_145_Pasted image 20260303175550.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_145_Pasted_image_20260303175550_67.png,Asset,Moved
Asset_146_Pasted image 20260303175601.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_146_Pasted_image_20260303175601_68.png,Asset,Moved
Asset_147_Pasted image 20260303180757.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_147_Pasted_image_20260303180757_69.png,Asset,Moved
Asset_148_Pasted image 20260303180842.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_148_Pasted_image_20260303180842_70.png,Asset,Moved
Asset_149_Pasted image 20260303191840.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_149_Pasted_image_20260303191840_71.png,Asset,Moved
Asset_14_733.jpg,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_14_733_72.jpg,Asset,Moved
Asset_150_Pasted image 20260303191902.png,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_150_Pasted_image_20260303191902_73.png,Asset,Moved
Asset_151_1.mov,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_151_1_74.mov,Asset,Moved
Asset_152_1234444.mov,C:\Users\natha\OneDrive - Bina Nusantara\Cook\VLT_Content\04_HMN_OUTPUTS\All_Assets,Asset_Asset_152_1234444_75.mov,Asset,Moved
